county_name,state_name,population_size,percent_1to9,percent_10to14,percent_15to19,percent_20to34,percent_35to44,percent_45to64,percent_65plus
Los Angeles County, California,10105518,11.7,6.3,6.2,23.1,27,12,11.7
Cook County, Illinois,5180493,11.9,6.2,6,22.8,26,12.3,12.6
Harris County, Texas,4698619,14.6,7.7,6.9,22.8,26.8,10.7,9.5
Maricopa County, Arizona,4410824,12.7,7,6.7,21.2,25.5,11.5,13.4
San Diego County, California,3343364,11.9,6.2,6.2,24.1,25.8,11.8,12.2
Orange County, California,3185968,11.4,6.6,6.4,21,27,12.7,12.8
Miami-Dade County, Florida,2761581,11.1,5.7,5.7,20.4,28.4,12.5,13.7
Dallas County, Texas,2637772,14.7,7.3,6.8,23.5,26.2,10.9,9.6
Kings County, New York,2582830,13.2,6.1,5.3,24.6,25.7,11.2,12.1
Riverside County, California,2450758,13.4,7.4,7.2,20.9,25.3,11.5,12.7
Queens County, New York,2278906,11.2,5.8,5,21.8,27.2,13.2,13.7
King County, Washington,2233163,11.6,5.5,5.3,24.4,28.1,11.9,11.5
Clark County, Nevada,2231647,12.5,6.9,6.1,20.9,27.1,11.8,13.3
San Bernardino County, California,2171603,14.3,7.5,7.3,22.9,25.2,11.3,10.4
Tarrant County, Texas,2084931,14.3,7.6,7.1,21.6,26.7,11.5,10
Bexar County, Texas,1986049,13.8,7.6,7.2,23.3,25.4,10.6,10.9
Broward County, Florida,1951260,11.1,6.4,5.7,19.2,27.5,13.4,14.6
Santa Clara County, California,1937570,11.6,6.6,5.9,22.4,28.2,11.8,11.5
Wayne County, Michigan,1753893,12.9,6.6,6.4,20.5,24.7,13.4,13.5
Alameda County, California,1666753,11.3,6,5.6,22.7,28.4,12.2,12.2
New York County, New York,1628701,8.3,3.9,4.2,29.2,26.5,11.3,14.1
Middlesex County, Massachusetts,1614714,10.8,5.5,6.4,22.7,26.5,12.9,13.1
Philadelphia County, Pennsylvania,1584138,12.5,6,6.1,26.1,24,11.7,11.9
Sacramento County, California,1540975,12.8,6.9,6.2,22,25.9,12.2,12.3
Palm Beach County, Florida,1485941,10.2,5.5,5.5,17.4,24.3,13.3,19.8
Suffolk County, New York,1481093,10.8,6.4,6.6,18.4,26.5,14.5,14.8
Hillsborough County, Florida,1436888,12.3,6.6,6.3,21.7,26.9,12,12.6
Bronx County, New York,1432132,13.8,7,6.7,23.4,25.1,11.2,11.3
Orange County, Florida,1380645,12.1,6.4,6.8,24.3,27.3,11.3,10.5
Nassau County, New York,1358343,11.3,6.2,6.3,18.1,25.9,14.4,14.9
Franklin County, Ohio,1310300,13.3,6.4,6.6,25.1,25.3,11.3,10.6
Hennepin County, Minnesota,1259428,12.6,6,5.7,23.2,25.9,12.6,12.1
Oakland County, Michigan,1259201,10.9,6.2,6.1,19.2,26.5,14.3,14.6
Travis County, Texas,1248743,12.2,6.1,6,26.7,28.8,10.5,8.8
Cuyahoga County, Ohio,1243857,11,6.1,6,20.5,23.9,14.3,15.6
Allegheny County, Pennsylvania,1218452,10.2,5.4,5.8,21.6,23.8,14.4,16.1
Salt Lake County, Utah,1152633,14.9,7.8,7,23.5,25.8,10.1,9.9
Fairfax County, Virginia,1150795,12.8,6.6,6.3,19.4,28.8,12.7,12.1
Contra Costa County, California,1150215,11.5,7,6.4,18.6,27.6,13.2,14
Mecklenburg County, North Carolina,1093901,13.3,6.4,6.4,23.5,28.1,11,10.1
Wake County, North Carolina,1092305,12.7,7.1,6.9,21,29.2,11.4,10.4
Montgomery County, Maryland,1052567,12.9,6.4,6.1,18.4,27.7,13.1,13.5
Fulton County, Georgia,1050114,12.1,6,6.7,24.2,28,11.3,10.4
Pima County, Arizona,1039073,10.9,6.4,6.7,21.4,22.3,12.4,17.7
Collin County, Texas,1005146,12.9,8.4,7.1,18.6,30.9,11.2,10
St. Louis County, Missouri,996945,11.9,6.2,6.2,19,24.4,14.1,15.7
Fresno County, California,994400,15.6,8.3,7.2,22.5,23.8,10.5,10.5
Honolulu County, Hawaii,980080,12.1,5.9,5.4,22.2,24.8,11.9,14.6
Pinellas County, Florida,975280,9,4.3,4.5,17,24.4,16,21.2
Westchester County, New York,967612,11.5,6.4,6.6,17.8,27,13.7,14.3
Marion County, Indiana,954670,14,6.8,6.2,23.7,24.6,12,11.1
Duval County, Florida,950181,13.2,6,5.7,23.2,25.1,12.7,12.6
Milwaukee County, Wisconsin,948201,13.3,6.9,6.6,23.1,24.4,12,11.6
Fairfield County, Connecticut,943823,11.4,6.9,7,17.7,27,14,13.6
Bergen County, New Jersey,936692,11.1,6.2,6.1,17.5,27.7,14.2,14.4
Shelby County, Tennessee,935764,13.4,7.4,6.5,21.6,24.9,12.4,12
DuPage County, Illinois,928589,12.3,6.3,6.5,18.9,26.5,14,13.5
Gwinnett County, Georgia,927781,13.6,8.4,7.5,19.8,29.1,11.6,9.1
