county_name,state_name,population_size,percent_25year_above_high_school,percent_25year_above_professional_diploma,percent_25year_above_bachelors_degree,percent_25year_above_bacholors_above
Los Angeles County, California,10105518,20.6,21.3,11.2,32.5
Cook County, Illinois,5180493,23.5,23,16.3,39.3
Harris County, Texas,4698619,23.4,19.9,11.7,31.6
Maricopa County, Arizona,4410824,22.3,21,12.2,33.2
San Diego County, California,3343364,18.5,23.1,15.3,38.4
Orange County, California,3185968,17.2,26.4,14.7,41
Miami-Dade County, Florida,2761581,26.9,19.9,11.6,31.4
Dallas County, Texas,2637772,23.2,20,11.7,31.8
Kings County, New York,2582830,25.8,23.3,15.6,38.9
Riverside County, California,2450758,29.3,14.2,8.1,22.2
Queens County, New York,2278906,26.9,21,12.4,33.5
King County, Washington,2233163,15.1,31.7,21.5,53.2
Clark County, Nevada,2231647,28.1,16.1,8.5,24.6
San Bernardino County, California,2171603,26.7,13.9,7.5,21.4
Tarrant County, Texas,2084931,24.3,21.4,10.8,32.2
Bexar County, Texas,1986049,25.9,17,10.1,27.1
Broward County, Florida,1951260,27.2,19.8,12.6,32.3
Santa Clara County, California,1937570,13.7,28.4,25.4,53.8
Wayne County, Michigan,1753893,29.8,15.1,10,25.1
Alameda County, California,1666753,18.1,27.5,20.8,48.3
New York County, New York,1628701,13.1,32.1,29.2,61.4
Middlesex County, Massachusetts,1614714,18.4,28.4,29.4,57.8
Philadelphia County, Pennsylvania,1584138,33.1,17.7,13.2,30.9
Sacramento County, California,1540975,22,20.8,10.6,31.4
Palm Beach County, Florida,1485941,24.4,22.7,14.2,36.9
Suffolk County, New York,1481093,27.4,20,16.9,36.9
Hillsborough County, Florida,1436888,27.8,21.6,12.4,34
Bronx County, New York,1432132,27.7,13.4,7.3,20.7
Orange County, Florida,1380645,24.5,23.4,12.4,35.7
Nassau County, New York,1358343,22.9,25.2,21.1,46.3
Franklin County, Ohio,1310300,24.3,25.3,15.3,40.6
Hennepin County, Minnesota,1259428,16.4,32.3,18.7,51
Oakland County, Michigan,1259201,18.7,27.2,20.3,47.4
Travis County, Texas,1248743,16.1,32.3,19.6,51.9
Cuyahoga County, Ohio,1243857,26.6,19.9,13.9,33.9
Allegheny County, Pennsylvania,1218452,26.5,24.7,17.8,42.5
Salt Lake County, Utah,1152633,22.7,22.5,13.4,35.9
Fairfax County, Virginia,1150795,13.2,30.8,31.1,61.9
Contra Costa County, California,1150215,17.3,26.7,16.9,43.6
Mecklenburg County, North Carolina,1093901,16.6,30,15.5,45.5
Wake County, North Carolina,1092305,14.5,34.1,20.4,54.5
Montgomery County, Maryland,1052567,13.1,26.8,31.8,58.6
Fulton County, Georgia,1050114,18.4,31.8,22.3,54.1
Pima County, Arizona,1039073,23.3,18.5,13.1,31.5
Collin County, Texas,1005146,15.7,32.9,19.5,52.4
St. Louis County, Missouri,996945,20.7,24.8,19.1,43.9
Fresno County, California,994400,22.6,14.4,7.4,21.8
Honolulu County, Hawaii,980080,25.7,23.1,12.1,35.2
Pinellas County, Florida,975280,28.9,20.8,11.2,32
Westchester County, New York,967612,19.4,23.7,25.4,49.1
Marion County, Indiana,954670,27.9,20.8,10.5,31.2
Duval County, Florida,950181,28.5,19.4,11.1,30.5
Milwaukee County, Wisconsin,948201,28.7,19,11.7,30.7
Fairfield County, Connecticut,943823,20.6,26.8,21.6,48.4
Bergen County, New Jersey,936692,22.4,30.9,18.3,49.2
Shelby County, Tennessee,935764,28.5,18.9,12.6,31.5
DuPage County, Illinois,928589,18.2,30.7,19.9,50.6
Gwinnett County, Georgia,927781,22.4,23.1,13.3,36.4
Erie County, New York,919719,26.8,20,15.7,35.7
Prince George's County, Maryland,909308,24.9,19.3,15,34.3
Kern County, California,896764,26.8,10.4,5.8,16.2
Hartford County, Connecticut,892697,26.7,21.7,16.8,38.5
Pierce County, Washington,891299,25.8,18.3,10.1,28.4
San Francisco County, California,883305,12.2,36.1,23.7,59.8
Macomb County, Michigan,874759,28.5,16.2,8.7,25
Hidalgo County, Texas,865939,24,13.2,5.5,18.7
Denton County, Texas,859064,17.7,31.5,15.1,46.6
New Haven County, Connecticut,857620,31.6,18.4,16.6,35.1
Ventura County, California,850967,20.3,20.3,12.1,32.5
El Paso County, Texas,840758,23,15.5,8.1,23.6
Worcester County, Massachusetts,830839,27.2,22.9,14.8,37.6
Middlesex County, New Jersey,829685,24.5,26.6,17.9,44.4
Montgomery County, Pennsylvania,828604,23.9,27.5,21.2,48.7
Baltimore County, Maryland,828431,24.4,23,18.4,41.3
Hamilton County, Ohio,816684,25.7,23.2,15.3,38.5
Snohomish County, Washington,814901,23.4,22.1,10.6,32.7
Multnomah County, Oregon,811880,16.8,27.1,18.7,45.7
Suffolk County, Massachusetts,807252,19.5,26,21.7,47.8
Essex County, New Jersey,799767,28.4,21.2,15.8,36.9
Oklahoma County, Oklahoma,792582,24.9,20.4,11.9,32.3
Essex County, Massachusetts,790638,24.7,23.7,16.5,40.2
Fort Bend County, Texas,787858,19,28.3,18.6,46.9
Jefferson County, Kentucky,770517,25.7,20.4,14,34.4
San Mateo County, California,769545,14.4,30.2,22.3,52.6
Cobb County, Georgia,756865,18.6,31,18,49.1
DeKalb County, Georgia,756558,20.9,26.6,19.3,45.8
Lee County, Florida,754610,30.9,18.4,10.9,29.3
San Joaquin County, California,752660,30.8,12.4,5.5,17.9
Monroe County, New York,742474,22.8,21.7,18.1,39.8
Denver County, Colorado,716492,15.2,31.2,20.1,51.3
El Paso County, Colorado,713856,19.5,23.2,15.6,38.8
Polk County, Florida,708009,34.9,12.9,6.8,19.7
Norfolk County, Massachusetts,705388,18.4,27.7,26.3,54
District of Columbia, District of Columbia,702455,16.6,25.9,34.5,60.4
Lake County, Illinois,700832,20.9,26.5,19.4,45.9
Jackson County, Missouri,700307,27.7,20.1,11.6,31.7
Davidson County, Tennessee,692587,22.5,25.9,16.4,42.3
Will County, Illinois,692310,26.7,21.8,12.2,34
