county_name,stat_name,population_size,median_household_income,median_houshold_year_round_incomes
Los Angeles County, California,10105518,33635,92811
Cook County, Illinois,5180493,39986,106353
Harris County, Texas,4698619,33996,89459
Maricopa County, Arizona,4410824,35452,91648
San Diego County, California,3343364,36890,104344
Orange County, California,3185968,40419,113209
Miami-Dade County, Florida,2761581,30280,73596
Dallas County, Texas,2637772,35058,87113
Kings County, New York,2582830,40764,107751
Riverside County, California,2450758,31936,91517
Queens County, New York,2278906,38642,97877
King County, Washington,2233163,50875,141689
Clark County, Nevada,2231647,33537,84738
San Bernardino County, California,2171603,32086,88084
Tarrant County, Texas,2084931,35964,92927
Bexar County, Texas,1986049,30316,80066
Broward County, Florida,1951260,32612,87371
Santa Clara County, California,1937570,57158,163127
Wayne County, Michigan,1753893,31449,91133
Alameda County, California,1666753,52049,141390
New York County, New York,1628701,61224,167179
Middlesex County, Massachusetts,1614714,51311,143156
Philadelphia County, Pennsylvania,1584138,32550,92844
Sacramento County, California,1540975,37071,103429
Palm Beach County, Florida,1485941,32024,90987
Suffolk County, New York,1481093,46976,124498
Hillsborough County, Florida,1436888,34470,90791
Bronx County, New York,1432132,27672,80735
Orange County, Florida,1380645,30731,80477
Nassau County, New York,1358343,51306,140903
Franklin County, Ohio,1310300,35463,94657
Hennepin County, Minnesota,1259428,43013,116691
Oakland County, Michigan,1259201,44294,125574
Travis County, Texas,1248743,41752,111021
Cuyahoga County, Ohio,1243857,34492,94945
Allegheny County, Pennsylvania,1218452,38236,105747
Salt Lake County, Utah,1152633,36038,93356
Fairfax County, Virginia,1150795,55661,157943
Contra Costa County, California,1150215,47591,142221
Mecklenburg County, North Carolina,1093901,37188,96612
Wake County, North Carolina,1092305,42254,112280
Montgomery County, Maryland,1052567,49025,142667
Fulton County, Georgia,1050114,42467,118992
Pima County, Arizona,1039073,29615,81424
Collin County, Texas,1005146,49123,128969
St. Louis County, Missouri,996945,38933,107971
Fresno County, California,994400,29226,84767
Honolulu County, Hawaii,980080,38829,95963
Pinellas County, Florida,975280,32736,88430
Westchester County, New York,967612,48475,140143
Marion County, Indiana,954670,32221,86469
Duval County, Florida,950181,32633,86051
Milwaukee County, Wisconsin,948201,32648,91034
Fairfield County, Connecticut,943823,43323,135539
Bergen County, New Jersey,936692,51705,135557
Shelby County, Tennessee,935764,31131,83667
DuPage County, Illinois,928589,45458,128555
Gwinnett County, Georgia,927781,36007,91902
Erie County, New York,919719,36167,97677
Prince George's County, Maryland,909308,41014,108743
Kern County, California,896764,28046,80377
Hartford County, Connecticut,892697,42378,120912
Pierce County, Washington,891299,40599,106410
San Francisco County, California,883305,65393,180936
Macomb County, Michigan,874759,35317,97303
Hidalgo County, Texas,865939,22749,66200
Denton County, Texas,859064,43005,115989
New Haven County, Connecticut,857620,40163,114011
Ventura County, California,850967,36491,103938
El Paso County, Texas,840758,24647,69715
Worcester County, Massachusetts,830839,40889,115481
Middlesex County, New Jersey,829685,47825,124942
Montgomery County, Pennsylvania,828604,47286,127945
Baltimore County, Maryland,828431,41591,111674
Hamilton County, Ohio,816684,35909,98776
Snohomish County, Washington,814901,44586,116954
Multnomah County, Oregon,811880,38707,107465
Suffolk County, Massachusetts,807252,40571,117558
Essex County, New Jersey,799767,39437,107156
Oklahoma County, Oklahoma,792582,31034,82943
Essex County, Massachusetts,790638,40296,118376
Fort Bend County, Texas,787858,45114,121421
Jefferson County, Kentucky,770517,33599,92662
San Mateo County, California,769545,56288,156788
Cobb County, Georgia,756865,41814,112869
DeKalb County, Georgia,756558,37179,97842
Lee County, Florida,754610,31140,79945
San Joaquin County, California,752660,34023,88887
Monroe County, New York,742474,35881,102721
Denver County, Colorado,716492,42409,108054
El Paso County, Colorado,713856,33428,91876
Polk County, Florida,708009,30517,74217
Norfolk County, Massachusetts,705388,51829,148541
District of Columbia, District of Columbia,702455,57851,152178
Lake County, Illinois,700832,40506,116521
Jackson County, Missouri,700307,35204,90916
Davidson County, Tennessee,692587,35460,87653
Will County, Illinois,692310,40778,116467
Bernalillo County, New Mexico,678701,30553,84312
Hudson County, New Jersey,676061,42258,112644
Jefferson County, Alabama,659300,35418,93255
Kent County, Michigan,653786,32600,92824
Arapahoe County, Colorado,651215,40111,103925
Tulsa County, Oklahoma,648360,32630,88124
Providence County, Rhode Island,636084,35291,93694
Bucks County, Pennsylvania,628195,45163,118836
Utah County, Utah,622213,26413,97242
Monmouth County, New Jersey,621354,50720,138327
Baltimore city, Maryland,602495,36970,94455
Ocean County, New Jersey,601651,39726,114065
Washington County, Oregon,597695,41372,113153
Johnson County, Kansas,597555,46054,121997
Brevard County, Florida,596849,32124,90680
Montgomery County, Texas,590925,41509,108338
Jefferson County, Colorado,580233,44990,113036
Anne Arundel County, Maryland,576031,50762,127455
Douglas County, Nebraska,566880,36692,97663
Williamson County, Texas,566719,41524,114298
Delaware County, Pennsylvania,564751,40681,111125
Bristol County, Massachusetts,564022,38516,108838
New Castle County, Delaware,559335,37855,105952
Union County, New Jersey,558067,41959,111741
Ramsey County, Minnesota,550210,35976,98193
Stanislaus County, California,549815,32907,92615
Volusia County, Florida,547538,31242,78794
Lancaster County, Pennsylvania,543557,35177,93214
Dane County, Wisconsin,542364,40198,105122
Summit County, Ohio,541918,35169,96158
Pasco County, Florida,539630,33797,88309
Kane County, Illinois,534216,36528,102053
Guilford County, North Carolina,533670,31819,87705
Montgomery County, Ohio,532331,31609,89318
Chester County, Pennsylvania,522046,49589,133532
Plymouth County, Massachusetts,518132,45513,128169
Spokane County, Washington,514631,32220,92833
Greenville County, South Carolina,514213,32892,90958
Sedgwick County, Kansas,513607,32118,92068
Adams County, Colorado,511868,36355,90483
Camden County, New Jersey,507078,39411,106692
Passaic County, New Jersey,503310,38594,98988
Sonoma County, California,499942,35799,111870
Morris County, New Jersey,494228,55284,157385
Polk County, Iowa,487204,40189,101143
Lake County, Indiana,484411,35270,94402
Clark County, Washington,481857,40551,106544
Richmond County, New York,476179,48165,119955
Hampden County, Massachusetts,470406,35745,99674
Ada County, Idaho,469966,36401,99754
Prince William County, Virginia,468011,45307,125482
Seminole County, Florida,467832,37109,93564
Tulare County, California,465861,26704,78833
Washoe County, Nevada,465735,35391,92391
Knox County, Tennessee,465289,31988,87348
Onondaga County, New York,461809,37344,103359
Virginia Beach city, Virginia,450189,39690,98227
York County, Pennsylvania,448273,37191,95538
Pinal County, Arizona,447138,32843,89494
Solano County, California,446610,42004,113443
Santa Barbara County, California,446527,29099,90239
Burlington County, New Jersey,445384,45337,117429
East Baton Rouge Parish, Louisiana,440956,31186,87213
Monterey County, California,435594,30039,83128
Jefferson Parish, Louisiana,434051,31908,86178
