"county_name","state_name","population_size","percent_1to9","percent_10to14","percent_15to19","percent_20to34","percent_35to44","percent_45to64","percent_65plus","median_household_income","median_houshold_year_round_incomes","percent_25year_above_high_school","percent_25year_above_professional_diploma","percent_25year_above_bachelors_degree","percent_25year_above_bacholors_above","management_business_science_arts","service_occupations","sales_office_occupation","naturalresources_construction_maintenance","production_transportation_materialmoving","median_age","avg_house_hold_size"
"Morgan County"," Alabama","119089","12.6","6.2","6.6","17.7","25.8","13.8","15","31041","77759","28.7","17.7","8.1","25.8","34.8","14.5","21.6","9.5","19.6","40.7","3"
"Kings County"," California","151366","15.1","7.7","7.1","24.5","25.9","9.6","9.3","32168","90672","25","10.1","4.7","14.7","27.1","20.3","16.6","20.7","15.3","32","4"
"Monterey County"," California","435594","14.3","7.7","6.9","21.5","24.8","11.1","11.7","30039","83128","21","14.7","10.1","24.8","28.1","20.2","18.4","19.4","13.8","34.7","4"
"Nevada County"," California","99696","8.4","6.1","4.3","13.4","23.1","16.9","24.6","34785","103942","18","25.6","11.8","37.4","39.2","19.4","23.8","9.4","8.2","50.5","3"
"Shasta County"," California","180040","12.1","5.7","5.8","18.2","22.7","14.9","18.3","30955","101919","23.2","13.8","8.4","22.2","35.1","22.2","20.7","11.4","10.6","41.5","3"
"Yuba County"," California","78041","14.4","8.3","7.1","22.4","23","12.8","10.7","28356","77519","20.2","10.7","5.9","16.5","24.8","23.8","21","17.2","13.2","33.8","3"
"Douglas County"," Colorado","342776","12.9","7.9","7.6","16.1","31.1","12.7","10.6","55346","155605","11.8","38.3","20","58.4","55","12.7","22.9","3.8","5.7","39.1","3"
"Fairfield County"," Connecticut","943823","11.4","6.9","7","17.7","27","14","13.6","43323","135539","20.6","26.8","21.6","48.4","45.6","17.3","21.7","7.6","7.7","40.8","3"
"Kent County"," Delaware","178550","11.9","7.1","7","20.1","24","13.2","15","32114","85414","32.6","13.5","9.8","23.3","30.9","21.6","23.2","8.6","15.6","38.1","3"
"New Castle County"," Delaware","559335","11.4","6.4","6.6","21","25.7","13.4","13.7","37855","105952","33.2","20.9","14.6","35.4","43.7","16.9","21.6","7.5","10.3","38.4","3"
"Nassau County"," Florida","85832","9.2","7.3","5.4","14.7","25.6","15.9","20.6","33377","94441","32.6","17.1","10.4","27.5","33.3","21.1","22.5","13.6","9.6","46.1","3"
"St. Lucie County"," Florida","321128","10.4","5.8","5.2","16.7","23.7","14.2","21.7","30607","76318","31","14","8.8","22.8","29.7","21.3","25.7","11.2","12","45.2","3"
"Santa Rosa County"," Florida","179349","11.5","6.5","5.9","19.5","26.6","14","14.7","36941","95565","28.4","18.6","10.2","28.7","41.8","21.8","18.3","10.8","7.2","40","3"
"Barrow County"," Georgia","80809","13.7","7.6","6.8","20.1","27.6","11.4","11.4","31528","82706","32.4","13.2","5.6","18.7","26.3","16.4","27.9","13.7","15.7","36.3","3"
"Jackson County"," Georgia","70422","12.8","7","7.9","18.1","28.2","11.5","12.9","35879","97722","32.1","14.5","9.1","23.6","38","16","21","9.2","15.7","38.3","3"
"Lowndes County"," Georgia","116321","14.5","5.9","8.5","26.8","21.9","10","11.1","27313","68735","32.1","13.1","8.4","21.4","29.3","16.7","26","8.9","19","30.8","4"
"Richmond County"," Georgia","201554","12.5","6.5","7.3","24.3","23","12.4","12.6","25952","68124","31.7","13.6","8","21.6","32.9","18.6","23.6","6.2","18.7","34.4","4"
"Troup County"," Georgia","70034","11.1","9","7.4","20.8","24.8","12.5","12.9","29079","75464","38.2","10","5.9","16","25.1","15.9","22.8","5.8","30.4","36.4","3"
"Walker County"," Georgia","69410","12.4","5.4","6.5","17.5","25.1","14.3","17.1","29111","78513","33.8","11.8","5.1","16.9","27.6","19.1","24.1","13.9","15.3","42.5","3"
"Adams County"," Illinois","65691","13","6.5","5.1","18.1","23","14.1","17.4","34748","80751","33","19.2","9.9","29.1","32.8","17.7","21.6","9.2","18.8","41.5","3"
"DeKalb County"," Illinois","104143","10.6","7.6","8.6","27.9","21.5","11.1","11.3","30720","101440","21.8","23.6","13.8","37.4","39.5","18.5","19","8","14.9","30.9","3"
"St. Clair County"," Illinois","261059","11.9","7.6","6.2","19.1","25.5","14.1","13.9","35930","94255","26.4","17.3","12","29.3","36.8","19.6","23.1","7.3","13.2","39.6","3"
