county_name,state_name,avg_house_hold_size
Morgan County, Alabama,3
Kings County, California,4
Monterey County, California,4
Nevada County, California,3
Shasta County, California,3
Yuba County, California,3
Douglas County, Colorado,3
Fairfield County, Connecticut,3
Kent County, Delaware,3
New Castle County, Delaware,3
Nassau County, Florida,3
St. Lucie County, Florida,3
Santa Rosa County, Florida,3
Barrow County, Georgia,3
Jackson County, Georgia,3
Lowndes County, Georgia,4
Richmond County, Georgia,4
Troup County, Georgia,3
Walker County, Georgia,3
Adams County, Illinois,3
DeKalb County, Illinois,3
St. Clair County, Illinois,3
Williamson County, Illinois,3
Delaware County, Indiana,3
Hendricks County, Indiana,3
LaPorte County, Indiana,3
Madison County, Indiana,3
Dubuque County, Iowa,3
Pottawattamie County, Iowa,3
Johnson County, Kansas,3
Kenton County, Kentucky,3
Warren County, Kentucky,3
Lafayette Parish, Louisiana,3
Charles County, Maryland,3
Frederick County, Maryland,3
Prince George's County, Maryland,3
Middlesex County, Massachusetts,3
Suffolk County, Massachusetts,3
Eaton County, Michigan,3
Grand Traverse County, Michigan,3
Jackson County, Michigan,3
Kalamazoo County, Michigan,3
Muskegon County, Michigan,3
Ottawa County, Michigan,3
Anoka County, Minnesota,3
Carver County, Minnesota,3
Olmsted County, Minnesota,3
St. Louis County, Minnesota,3
Sherburne County, Minnesota,3
Lauderdale County, Mississippi,3
Lee County, Mississippi,3
Rankin County, Mississippi,3
Douglas County, Nebraska,3
Lancaster County, Nebraska,3
Sarpy County, Nebraska,3
Cheshire County, New Hampshire,3
Hillsborough County, New Hampshire,3
Cape May County, New Jersey,3
Cumberland County, New Jersey,3
Hudson County, New Jersey,3
San Juan County, New Mexico,3
Santa Fe County, New Mexico,3
St. Lawrence County, New York,3
Ulster County, New York,3
Cabarrus County, North Carolina,3
Cumberland County, North Carolina,3
Guilford County, North Carolina,3
Wake County, North Carolina,3
Burleigh County, North Dakota,3
Lake County, Ohio,3
Lorain County, Ohio,3
Lucas County, Ohio,3
Summit County, Ohio,3
Creek County, Oklahoma,3
Payne County, Oklahoma,3
Rogers County, Oklahoma,3
Tulsa County, Oklahoma,3
Lane County, Oregon,3
Adams County, Pennsylvania,3
Cumberland County, Pennsylvania,3
Lebanon County, Pennsylvania,3
Lycoming County, Pennsylvania,3
Kent County, Rhode Island,3
Berkeley County, South Carolina,3
Sumter County, South Carolina,3
Davidson County, Tennessee,3
Hamilton County, Tennessee,3
Robertson County, Tennessee,3
Washington County, Tennessee,3
