county_name,state_name,population_size,management_business_science_arts,service_occupations,sales_office_occupation,naturalresources_construction_maintenance,production_transportation_materialmoving
Los Angeles County, California,10105518,37.3,19.4,21.7,7.8,13.8
Cook County, Illinois,5180493,41.3,17.8,21.6,5.7,13.6
Harris County, Texas,4698619,35.9,17.5,20.8,12.1,13.7
Maricopa County, Arizona,4410824,38.2,18.4,24.1,8,11.3
San Diego County, California,3343364,41.3,19.8,21.2,7.6,10.1
Orange County, California,3185968,42.9,17.5,23.6,5.9,10.2
Miami-Dade County, Florida,2761581,32.6,20.7,25.2,10.1,11.4
Dallas County, Texas,2637772,34.8,17.1,22.1,11.8,14.2
Kings County, New York,2582830,43.7,22.7,19.1,5.7,8.9
Riverside County, California,2450758,29.5,21.2,23.4,11,15
Queens County, New York,2278906,34.7,24.2,20.3,8.6,12.2
King County, Washington,2233163,53.1,14.6,18.4,5.2,8.7
Clark County, Nevada,2231647,29.4,27.1,23.8,8.2,11.5
San Bernardino County, California,2171603,29.5,18.4,21.5,10.8,19.9
Tarrant County, Texas,2084931,35.7,15.4,23.5,9.6,15.9
Bexar County, Texas,1986049,34.7,20,23.7,10,11.6
Broward County, Florida,1951260,35.9,20.3,25.1,8.5,10.3
Santa Clara County, California,1937570,54.5,14.4,17,5.9,8.2
Wayne County, Michigan,1753893,33.1,19.6,21,6.7,19.6
Alameda County, California,1666753,51.4,14.8,17.6,6.1,10.2
New York County, New York,1628701,60.7,14.2,18.4,2.1,4.5
Middlesex County, Massachusetts,1614714,58,13.9,16.7,5.1,6.3
Philadelphia County, Pennsylvania,1584138,39.7,22.5,19.7,5.6,12.5
Sacramento County, California,1540975,39.6,18.9,22.6,8,10.9
Palm Beach County, Florida,1485941,37,22.8,22.6,8.7,8.8
Suffolk County, New York,1481093,40.7,17.5,23.6,8.8,9.5
Hillsborough County, Florida,1436888,39,17.2,25.1,9,9.7
Bronx County, New York,1432132,25,34.1,21.8,6.2,12.9
Orange County, Florida,1380645,37.3,19.3,24.9,8.3,10.2
Nassau County, New York,1358343,46.4,16.5,23.3,6.2,7.7
Franklin County, Ohio,1310300,43.6,16,21.8,4.8,13.8
Hennepin County, Minnesota,1259428,49.6,15.3,21.3,3.7,10.1
Oakland County, Michigan,1259201,49.2,14.6,20.9,5.2,10.2
Travis County, Texas,1248743,50.1,14.9,20.4,7.6,7.1
Cuyahoga County, Ohio,1243857,41,17.9,22.3,5.7,13.2
Allegheny County, Pennsylvania,1218452,46.5,16.6,21.4,5.8,9.7
Salt Lake County, Utah,1152633,40.2,14.4,24.7,8.4,12.3
Fairfax County, Virginia,1150795,58,14.7,16.8,4.9,5.6
Contra Costa County, California,1150215,45.2,17.3,20.5,7.7,9.2
Mecklenburg County, North Carolina,1093901,43.1,15.7,22.6,7,11.6
Wake County, North Carolina,1092305,53.3,14,19.1,5.5,8.1
Montgomery County, Maryland,1052567,54.1,17,16.9,6,6
Fulton County, Georgia,1050114,51,14.2,21.5,3.4,9.9
Pima County, Arizona,1039073,36.1,23.2,21.7,9.4,9.6
Collin County, Texas,1005146,52.8,13.2,21.8,5.2,7
St. Louis County, Missouri,996945,46.2,14.9,23.6,5,10.4
Fresno County, California,994400,30.8,19.7,19.7,15.8,13.9
Honolulu County, Hawaii,980080,35.9,22.2,22.9,9,10
Pinellas County, Florida,975280,38.6,18.2,26.5,6.8,10
Westchester County, New York,967612,48.7,18.7,18.6,6.9,7
Marion County, Indiana,954670,35.2,16.2,22.8,7.5,18.2
Duval County, Florida,950181,37.4,19.1,22,8.8,12.7
Milwaukee County, Wisconsin,948201,36.1,19.4,21.1,5.5,17.8
Fairfield County, Connecticut,943823,45.6,17.3,21.7,7.6,7.7
Bergen County, New Jersey,936692,49.2,12.8,23.1,6.6,8.4
Shelby County, Tennessee,935764,34.3,19,21.2,6.2,19.3
DuPage County, Illinois,928589,47.4,12.2,23.6,5.4,11.4
Gwinnett County, Georgia,927781,36.9,16.6,23.6,10.4,12.5
Erie County, New York,919719,40.7,18.3,23.1,6.6,11.2
Prince George's County, Maryland,909308,40.7,20.5,19.4,10.1,9.3
Kern County, California,896764,26.2,19.9,18.6,21,14.3
Hartford County, Connecticut,892697,43.2,15.8,22.1,6.1,12.8
Pierce County, Washington,891299,35,18.7,20.9,10.1,15.3
San Francisco County, California,883305,59.2,14.5,17.5,2.7,6.1
Macomb County, Michigan,874759,34.8,17.6,23.1,7.1,17.4
Hidalgo County, Texas,865939,27.3,24.3,22.4,13.2,12.8
Denton County, Texas,859064,45.7,13.2,23.8,6.4,10.9
New Haven County, Connecticut,857620,42.4,18.3,21.2,7,11.1
Ventura County, California,850967,37.6,18.1,21.4,11.7,11.2
El Paso County, Texas,840758,30.5,22.2,25.6,9.8,11.8
Worcester County, Massachusetts,830839,43.2,17.9,20.5,6.9,11.5
Middlesex County, New Jersey,829685,45.3,12.9,21.3,6.7,13.9
Montgomery County, Pennsylvania,828604,50.8,13.3,21.3,5.5,9
Baltimore County, Maryland,828431,46.4,16.1,22,6.3,9.1
Hamilton County, Ohio,816684,41.9,16.8,22,5.5,13.8
Snohomish County, Washington,814901,40.2,16.3,20.6,11.1,11.9
Multnomah County, Oregon,811880,47.4,16.3,18.5,6.4,11.4
Suffolk County, Massachusetts,807252,47.8,19.8,19.8,4.3,8.4
Essex County, New Jersey,799767,41.3,18.8,19.2,7.6,13
Oklahoma County, Oklahoma,792582,36.8,18.7,23.7,9.5,11.4
Essex County, Massachusetts,790638,42,17.6,20.2,7.4,12.7
Fort Bend County, Texas,787858,49.7,13.6,22.2,5.9,8.6
Jefferson County, Kentucky,770517,38.5,16.6,21.4,6.2,17.4
San Mateo County, California,769545,50.5,16.8,19,5.3,8.3
Cobb County, Georgia,756865,47.1,14.6,22,6.4,10
DeKalb County, Georgia,756558,45.9,14.8,20.6,7.1,11.6
Lee County, Florida,754610,32.4,19.6,24.7,12.8,10.5
San Joaquin County, California,752660,27.3,17.5,20.3,15.3,19.6
Monroe County, New York,742474,45.5,16.7,21.3,5.3,11.3
Denver County, Colorado,716492,49.5,14.9,19.6,7.6,8.5
El Paso County, Colorado,713856,41.4,17.7,22.4,9.3,9.3
Polk County, Florida,708009,28.3,20.7,23.3,11.6,16.1
Norfolk County, Massachusetts,705388,54.8,14.8,18.9,5.4,6.1
District of Columbia, District of Columbia,702455,64.7,14.4,14.7,2.5,3.6
Lake County, Illinois,700832,44.7,14.3,22.2,6,12.8
Jackson County, Missouri,700307,38.8,16.9,22.3,8.3,13.7
Davidson County, Tennessee,692587,43,17.1,22.1,6.6,11.3
Will County, Illinois,692310,35.3,15.7,23.2,8.1,17.7
Bernalillo County, New Mexico,678701,40.7,20,22.9,8.7,7.7
Hudson County, New Jersey,676061,44.2,17,19.1,6.5,13.2
Jefferson County, Alabama,659300,39.9,15.1,23.8,7.3,13.8
Kent County, Michigan,653786,37.7,15.4,22.5,7.3,17.1
Arapahoe County, Colorado,651215,42,16,23.2,8.6,10.3
Tulsa County, Oklahoma,648360,37.9,16.8,23.7,8.1,13.5
Providence County, Rhode Island,636084,34.9,20.2,22.1,6.4,16.4
Bucks County, Pennsylvania,628195,43.8,14.5,22.6,8.1,11
Utah County, Utah,622213,41.8,14.6,24.9,8.2,10.6
Monmouth County, New Jersey,621354,46.6,15.3,23.3,7.1,7.6
Baltimore city, Maryland,602495,45.2,18.8,18.8,5.3,11.9
Ocean County, New Jersey,601651,37.9,18,24.9,10.1,9.1
Washington County, Oregon,597695,46.4,13.7,21.4,7.2,11.4
Johnson County, Kansas,597555,50.5,12.5,23.9,4.9,8.2
Brevard County, Florida,596849,39.2,18.2,22.7,8.5,11.3
